Title,Latitude,Longitude,Image
"The Alps",46.8876,9.657,alps.jpg
"Annecy",45.8992,6.1294,annecy.jpg
"Chamonix",45.9237,6.8694,chamonix.jpg
"Ponte Vecchio, Florence",43.7679,11.2531,florence.jpg
"Cliffs of Moher",52.9715,-9.4309,moher.jpg
"Haleakala Crater, Maui",20.7097,-156.2535,haleakala.jpg
"James Joyce Bridge, Dublin",53.3466,-6.2825,dublin.jpg
"Hanauma Bay, Oahu",21.269,-157.6938,hanauma-bay.jpg
"Kreuzberg Monastery",50.370833,9.968333,kreuzberg.jpg
"Westminster Bridge, London",51.5009,0.122,london.jpg
"Radcliffe Camera, Oxford",51.7534,-1.254,oxford.jpg
"St. Peter's Basilica, Rome",41.9022,12.4539,rome.jpg
"Tj&ouml;rn",58.009423,11.65123,tjorn.jpg
"Venice",45.4408,12.3155,venice.jpg
